Section,Title,Corpus,Reference,Tables,Keywords,subject,relation,object,Summary,Concept_range,Synonyms,Relation_Non_Taxonomique,Topic
9.1,purpose and objectives of monitor and control risks process,primary objectives risk monitoring controlling are track identified risks monitor residual risks identify new risks ensure risk response plans are executed appropriate time evaluate effectiveness throughout project life cycle in addition tracking managing risk response actions effectiveness project risk management processes should be reviewed provide improvements management current project as future ones for risk set risks a contingent response has been defined corresponding set trigger conditions should have been specified it is responsibility action owner ensure conditions are monitored corresponding actions are carried as defined a timely manner plan risk responses process is complete approved unconditional response actions should have been included defined current project management plan first action risk monitoring controlling is check whether is case take appropriate action necessary such as invoking change management process respect missing actions this will ensure agreedupon actions are carried within normal project execution framework risk owners risk action owners need be briefed changes may affect responsibilities effective communication needs be maintained project manager designated stakeholders accept accountability controlling potential outcomes specific risks apply best efforts track associated trigger conditions carry agreedupon responses a timely manner in addition response actions trigger conditions a mechanism measuring effectiveness response is provided plan risk responses process risk action owner should keep risk owner aware status response actions risk owner can decide risk has been dealt with whether additional actions need be planned implemented monitor and control risks as project progresses additional information becomes available project environment may change as some risks occur whether foreseen unforeseen others become cease be relevant planning should be kept current project manager should ensure periodic risk reassessment including risk identification analysis response planning is repeated reasonable intervals response project eventswithout generating excessive administrative overhead typical reasons risk reassessment are occurrence a major unexpected risk need analyze a complex change request phase end review project replanning major plan elaboration periodic review ensure information remains current in event major organizational changes risk management planning may need be revisited prior reassessing risks in addition regular status reviews periodic audits should be performed determine strengths weaknesses handling risks within project this should entail identifying barriers effectiveness keys success risk management recognition could lead improvements risk management current future projects at end project integrated analysis risk management process should be carried a focus longterm process improvements this analysis consolidates findings periodic audits identify lessons would be applicable general a large proportion organizations projects future such as appropriate levels resources adequate time analysis use tools level detail etc at project closure project manager should ensure a description has been given closure every risk risk register example a did not occur b occurred contingency plan invoked c occurred impact project scope ie time cost quality output audit risk management process should be consolidated specific information respect projects experience risks applicable guidelines organization should be highlighted potential actions proposed applying them this can lead update corresponding organizational process assets an overview steps involved monitor control risks process is given figure figure schematic representation monitor control risks process,"['Figure 9-1', 'Figure 9-1']",[]," risk management process , control risk process , risk action owner , monitor control risk , change management process , management process respect , responses process risk , risk response process , process risk action , addition response action",organizational overview step,identified,schematic control risk process,track determine can reason scope cost agreedupon measuring becomes involved figure large controlling for general not schematic effectiveness owner contingent closure tool them decide evaluate identified barrier did apply progress highlighted missing primary replanning update .,"['risk response plan', 'improvement management project risk', 'risk contingent response', 'condition', 'action owner', 'condition', 'action', 'response action', 'project management plan action risk monitoring control', 'case', 'action invoke change management process respect action', 'action', 'project execution framework risk owner risk action owner', 'change', 'responsibility communication', 'manager designate stakeholder accountability', 'outcome risk', 'effort track trigger condition', 'agreedupon', 'manner addition response action trigger condition mechanism measure effectiveness response', 'risk owner status response action risk owner', 'risk', 'action need', 'monitor control risk project information become environment', 'risk', 'others', 'planning', 'project manager', 'interval response project reason risk reassessment', 'risk', 'change request phase end review project', 'review', 'information', 'reassess risk addition status review', 'audit', 'strength', 'risk project', 'effectiveness key success risk management recognition', 'improvement risk management future project end project integrate analysis risk management process', 'process improvement analysis consolidate', 'audit identify lesson', 'proportion organization project future level resource time analysis use tool level detail etc project closure project manager', 'description', 'closure risk risk register example', 'b occur contingency plan', 'impact project scope time cost quality output audit risk management process', 'information respect project experience risk organization', 'action']","['risk monitor risk', 'risk', 'risk response plan', 'improvement management project risk', 'condition', 'response process', 'response action', 'process risk action owner', 'risk owner status response action risk owner', 'risk identification analysis response planning', 'interval response project reason risk reassessment', 'review', 'reassess risk addition status review']","['be track', 'identify', 'ensure', 'be', 'should be review provide', 'set', 'have be', 'set', 'should have be specify be', 'ensure', 'be', 'be carry', 'risk', 'be approve', 'should have be include', 'be check be', 'take', 'will ensure', 'be carry', 'need be', 'may affect', 'be maintain', 'control', 'apply', 'carry', 'responses', 'be', 'responses', 'should keep', 'can decide', 'have be deal', 'be plan', 'may change', 'occur', 'become be', 'should be keep', 'should ensure', 'include', 'be repeat', 'be', 'need analyze', 'replanning', 'elaboration', 'ensure', 'remain', 'may need be revisit', 'periodic', 'should be', 'weaknesses', 'should entail identify', 'could lead', 'should be carry', 'finding', 'would be', 'should ensure', 'have be', 'do occur', 'invoke', 'should be', 'should be highlight', 'propose apply can lead', 'be']",Control Risks
9.2,critical success factors for monitor and control risks process,critical success factors relate maintaining risk awareness throughout project include characteristics capabilities detailed sections,[],[]," critical success factor , capability detail section , success factor relate , factor relate maintain , relate maintain risk , maintain risk awareness , project include characteristic , include characteristic capability , characteristic capability detail , critical success",relate,include characteristic,characteristic capability detail section,"critical factor relate capability detailed awareness success project risk section characteristic .
 maintain throughout include throughout critical factor related capability .
 ensure that you have a clear understanding of what you need to do to achieve your goals .",[],[],['include'],Control Risks
9.2.1,integrate risk monitoring and control with project monitoring and control,from start project management plan should include actions required monitor control project risk this should be set early project planning cycle adjusted view risk response planning decisions adding example actions associated monitoring specific conditions metrics once risk response planning has been carried out project schedule should include agreedupon responserelated actions can be carried as a normal part project execution tracked monitor and control risks,[],[]," risk response planning , response planning decision , cycle adjust view , specific condition metric , planning decision add , include agreedupon responserelated , view risk response , plan cycle adjust , adjust view risk , associate monitor specific",responserelated  action,include,normal execution track monitor,"early can adding required decision specific normal part schedule view risk condition agreedupon monitor out example metric responserelated .
 project set ha control start execution been action a monitoring management response tracked .","['start project management plan', 'decision add example action associate monitor condition response planning', 'schedule']","['project plan cycle view risk response', 'decision add example action associate monitor condition response planning']","['should include', 'should be set', 'planning', 'have be carry', 'should include', 'can be carry']",Control Risks
9.2.2,monitor risk trigger conditions,risk response planning will have defined a set actions be carried as part project schedule as actions whose execution is dependent a predefined trigger condition checking defined risks may trigger conditional responses is responsibility risk action owner close collaboration risk owner overall authority project manager,[],[]," authority project manager , condition check defined , part project schedule , predefined trigger condition , trigger condition check , owner close collaboration , trigger conditional response , check defined risk , close collaboration risk , action owner close",defined trigger condition risk,define,conditional  response,"conditional trigger part schedule risk condition whose dependent responsibility owner defined checking manager be carried .
 project set collaboration authority have execution predefined action may a close overall response is .","['risk response planning', 'set action', 'part project schedule action execution', 'trigger condition check', 'risk']",[],"['will have define', 'be carry', 'be', 'defined', 'may trigger', 'be']",Control Risks
9.2.3,maintain risk awareness,risk management reports should be a regular item every status meeting agenda ensure team members remain aware importance risk management ensure is integrated project management decisions projects seniorlevel sponsor should require regular reports risks planned responses ensure stakeholders are aware importance keeping a focus risk sponsor feedback motivates project team demonstrating seniorlevel interest project risk management stakeholders perception effectiveness risk management is conditioned part way risks are handled as occur number characteristics such events it is crucial whenever a risk occurs information event as progress effectiveness responses be communicated regular intervals honest manner adapted needs stakeholder this should be supported a wellexecuted communications plan,[],[]," remain aware importance , member remain aware , status meeting agenda , interval honest manner , honest manner adapt , team member remain , sponsor feedback motivates , demonstrate seniorlevel interest , occur number characteristic , wellexecuted communication plan",interval honest adapt need this,be,wellexecuted communication plan,"report ensure integrated handled interest decision information decision information communication part risk event item every team perception are way need motivates effectiveness feedback remain demonstrating .
 appointment of seniorlevel progress meeting plan regular should be whenever communicated honest it importance agenda wellexecuted project crucial such .","['risk management report', 'item status meeting agenda', 'team member', 'importance risk management', 'project management decision project seniorlevel sponsor', 'report risk plan response', 'stakeholder', 'importance', 'focus risk sponsor feedback motivates', 'team demonstrate seniorlevel interest project risk management stakeholder perception effectiveness risk management', 'part way risk', 'number event', 'risk occur information event progress effectiveness response']",[],"['should be', 'ensure', 'remain', 'ensure be', 'should require', 'ensure', 'be', 'keep', 'project', 'be', 'be handle', 'be', 'be', 'should be support']",Control Risks
9.3,tools and techniques for monitor and control risks process,in addition standard project management monitoring control capabilities risk monitoring controlling requires a focus tools will support key success factors tracking overall risk as individual risks,[],[]," addition standard project , standard project management , project management monitoring , support key success , key success factor , success factor track , management monitoring control , monitoring control capabilities , monitor control require , capabilities risk monitor",focus tool,require,individual success risk,"success in risk key requires controlling support tool will project tracking addition control factor standard a monitoring overall management focus individual capability .
 risk key is a key measure of a company's ability to manage and control its own risk .","['addition standard project management monitoring control', 'focus tool']",['focus tool'],"['capabilities risk', 'require', 'will support', 'track']",Control Risks
9.3.1,managing contingency reserves,reserves may have been allocated cover timerelated costrelated risks techniques are required allow project manager assess point project whether provide required level con dence success project tools managing time buffers should be integrated projects scheduling techniques whereas managing cost should be compatible nancial practices tools are required identify trends forecast future outcomes determine whether reserves will remain suf cient tools are required tracking progress spending a consolidated manner monitor and control risks,[],[]," allocate cover timerelated , cover timerelated costrelated , manager assess point , level con dence , con dence success , compatible nancial practice , identify trend forecast , trend forecast future , forecast future outcome , future outcome determine",track progress,be allocate,consolidated manner monitor,cost risk monitor con are trend nancial provide whether consolidated future remain managing technique forecast spending allow timerelated tool buffer scheduling cient progress manager should be will project reserve dence time suf costrelated ass tracking practice have point identify control while been may cover a outcome manner compatible and allocated level .,"['cover', 'risk technique', 'project manager point project', 'con dence success project', 'time buffer', 'project schedule technique manage cost', 'practice tool', 'trend forecast determine reserve', 'tool']",['cover'],"['may have be', 'timerelated', 'be', 'require', 'tools', 'should be', 'should be', 'be require', 'will remain', 'be', 'spend']",Control Risks
9.3.2,tracking trigger conditions,trigger conditions corresponding metrics are defined plan risk responses process tools are required evaluate track conditions project baseline specified thresholds based actual status they can be chosen provide information risks related deliverables such as performance as projectrelated features such as time cost,[],[]," trigger condition correspond , responses process tool , require evaluate track , threshold base actual , base actual status , choose provide information , condition correspond metric , define plan risk , plan risk responses , risk responses process",actual specify they,require,such time cost,"track can required threshold baseline they information feature trigger cost risk condition deliverable .
 metric specified based tool projectrelated defined evaluate plan actual be project time corresponding process such a response chosen .","['trigger condition correspond', 'plan risk', 'tool', 'track condition project baseline', 'base status']",[],"['be', 'responses', 'be', 'specify', 'can be', 'related']",Control Risks
9.3.3,tracking overall risk,tools are required order determine as project progresses whether responses are having expected effect projects overall level risk,[],[]," require order determine , expect effect project , tool be require , level risk , require order , order determine , progress whether response , expect effect , project progress , effect project",be,require,overall level risk,"determine progress whether required effect level a project expected tool overall risk response having .
 risk response .
 determine progress based .
 on the project expected effect level and overall risk level of the project .
 overall risk .",['tool'],[],"['be', 'be have']",Control Risks
9.3.4,tracking compliance,in order monitor quality execution riskrelated plans processes a set quality metrics such as degree variation baseline should be tracked recorded these metrics will have been defined risk management plan,[],[]," degree variation baseline , define risk management , order monitor quality , monitor quality execution , quality execution riskrelated , execution riskrelated plan , riskrelated plan process , risk management plan , set quality metric , order monitor",track degree variation recorded,be,risk management plan,baseline in risk monitor variation order metric defined quality plan these should be will set degree process such as execution been a recorded riskrelated management tracked .,[],['plan process set quality variation baseline'],"['riskrelated', 'should be recorded will have be define']",Control Risks
9.4,documenting results of monitor and control risks process,nal control action risk monitoring controlling is record actual data future use this includes relevant information relating risk management start finish project definition information must include as storage mechanism should have been specified risk management plan goal is ensure signi ca nt risk management information is recorded provide concrete data lessons learned process inclusion a lessons learned document report other communication vehicle typical information includes following for identified risk type risk whether occurred and all relevant data should be recorded impact effectiveness detection response unplanned additional actions were carried out effectiveness avoidance exploitation actions effectiveness transfer sharing actions unexpected undocumented risks occurred data them effectiveness risk mitigation enhancement actions occurrence accepted threats opportunities consolidated information should be provided level effort expended costs benefits project risk management activities should be provided this information will need be archived indexed a manner will facilitate retrieval easy review project closure future projects need arises,[],[]," lesson learn process , lesson learn document , management start finish , management plan goal , learn process inclusion , learn document report , record provide concrete , communication vehicle typical , detection response unplanned , response unplanned additional",closure future project need,unplanned additional,easy review project,"report threat ca cost controlling nal for avoidance benefit detection effectiveness closure them identified goal signi carried will lesson transfer retrieval control easy .
 a all manner response typical this .
 response includes record recorded monitoring and level include ensure facilitate information .
 risk .","['control action risk monitoring control', 'data future use', 'information relate risk management start', 'project definition information', 'storage mechanism', 'management plan goal', 'risk management information', 'record data lesson', 'process inclusion lesson document report communication vehicle information', 'impact detection response', 'action', 'avoidance exploitation action effectiveness transfer share action', 'risk', 'data', 'mitigation action occurrence', 'threat opportunity', 'information', 'level effort', 'cost benefit project risk management activity', 'manner']","['impact detection response', 'manner']","['be record', 'include', 'finish', 'must include', 'should have be specify', 'be ensure ca nt', 'be', 'learn', 'include', 'should be', 'unplanned', 'be carry', 'unexpected', 'occur', 'effectiveness', 'accept', 'consolidated', 'should be', 'expend', 'should be provide', 'will need be indexed', 'will facilitate', 'need']",Control Risks
